sà sa4
wàn wan4
wán wan2
dǎng dang3
yé ye2
jian jian5
dǎi dai3
gǎo gao3
tiǎn tian3
pāi pai1
bái bai2
mòu mou4
shì shi4
dàn dan4
yú yu2
ké ke2
yong yong5
nián nian2
diū diu1
dui3 dui3
ei ei1
shou shou5
dē de1
tian4 tian4
chāng chang1
tī ti1
hà ha4
hāi hai1
f f
juě jue3
nié nie2
qíng qing2
bà ba4
qǐ qi3
nei nei5
yān yan1
zhí zhi2
xuē xue1
bié bie2
liè lie4
dǎo dao3
èi ei4
lāo lao1
cǔ cu3
dǒu dou3
gěn gen3
hèn hen4
juàn juan4
xian5 xian5
chèng cheng4
cēn cen1
éi ei2
yē ye1
lǎ la3
bei bei5
fēng feng1
jìng jing4
miǎn mian3
niè nie4
xiàng xiang4
fú fu2
shǎo shao3
xiè xie4
pú pu2
pāng pang1
huā hua1
děng deng3
qué que2
huán huan2
hè he4
shòu shou4
fǒu fou3
xù xu4
qīng qing1
lěng leng3
zèn zen4
cè ce4
ràng rang4
guàn guan4
jì ji4
qià qia4
máng mang2
wa wa5
chuǎn chuan3
nù nu4
xun xun5
dōu dou1
you you5
sù su4
yù yu4
guǎ gua3
shē she1
wěn wen3
pián pian2
yá ya2
niù niu4
quán quan2
sa sa5
mang mang5
hōng hong1
zhuǎ zhua3
ruǎn ruan3
tuó tuo2
zhi zhi5
sōng song1
hēng heng1
ming ming5
rù ru4
hun hun5
cūn cun1
mǎn man3
cáo cao2
bì bi4
lǎng lang3
yōu you1
xi xi5
tǐng ting3
lī li1
dèng deng4
biāo biao1
wài wai4
bū bu1
gěi gei3
kàng kang4
niǎn nian3
qiē qie1
nang nang5
shě she3
dōng dong1
xì xi4
yóng yong2
diǎo diao3
bá ba2
chōu chou1
dī di1
ju ju5
ren ren5
kuai kuai5
shóu shou2
chāi chai1
há ha2
shěng sheng3
yīng ying1
tán tan2
dá da2
nǎ na3
sheng sheng5
lǐ li3
bu bu5
tì ti4
xiǎn xian3
dè de4
lài lai4
yīn yin1
zhe zhe5
sháo shao2
xún xun2
āng ang1
jī ji1
fù fu4
ging1 ging1
kā ka1
luǎn luan3
shǒu shou3
hǒng hong3
qiao qiao5
che che5
ti5 ti5
u u
wū wu1
huō huo1
yǐng ying3
chuī chui1
fang fang5
tuō tuo1
nen nen5
a a5
niu niu5
réng reng2
teng1 teng1
tū tu1
dòng dong4
qiào qiao4
hái hai2
rè re4
sú su2
càn can4
cān can1
kū ku1
mie mie5
chài chai4
liu liu5
gòu gou4
lè le4
mù mu4
zhuì zhui4
piáo piao2
diàn dian4
pò po4
hàn han4
dà da4
ēng eng1
hàng hang4
pù pu4
kuǎi kuai3
nàng nang4
v gōu
ying ying5
gǔ gu3
bǔ bu3
suān suan1
tǒng tong3
zhuō zhuo1
gāi gai1
hao hao5
qiú qiu2
diǎ dia3
biào biao4
lu:3 lu:3
lìng ling4
céng ceng2
huǐ hui3
nu:4 nu:4
san san5
táo tao2
tǒu tou3
piē pie1
niang niang5
xióng xiong2
kāo kao1
zhàn zhan4
zhèn zhen4
zuī zui1
shao shao5
chèn chen4
mǎo mao3
yóu you2
zao zao5
ǎi ai3
shéng sheng2
wàng wang4
miáo miao2
sān san1
teng teng5
liǎng liang3
qiū qiu1
h h
wāng wang1
chān chan1
nǎi nai3
tong tong5
huǒ huo3
bāi bai1
fěng feng3
duó duo2
māng mang1
còu cou4
gai5 gai5
héng heng2
kuǐ kui3
chì chi4
mǔ mu3
zhāo zhao1
huān huan1
xī xi1
lēi lei1
nǎng nang3
yín yin2
suo suo5
zǎn zan3
mǐ mi3
gū gu1
xiong5 xiong5
zhǔ zhu3
ǎ a3
chěng cheng3
gǎn gan3
ruán ruan2
pìn pin4
sào sao4
xia xia5
shen shen5
guā gua1
lian lian5
mǎng mang3
huài huai4
zàng zang4
huan huan5
hai hai5
luàn luan4
dè se
huí hui2
chōng chong1
bǎ ba3
dǎn dan3
bìn bin4
liū liu1
biē bie1
cuō cuo1
quē que1
jiān jian1
pǎo pao3
xiāng xiang1
xx xx5
guì gui4
luò luo4
suì sui4
suō suo1
ōu ou1
miè mie4
bí bi2
zú zu2
tù tu4
bā ba1
háng hang2
chuì chui4
kōu kou1
jǔ ju3
tāo tao1
zá za2
cuǒ cuo3
rēng reng1
wang wang5
biang2 biang2
jǐ ji3
qiǎo qiao3
rǔ ru3
shuò shuo4
shuǎi shuai3
míng ming2
tái tai2
diào diao4
māo mao1
mí mi2
qiōng qiong1
zhōu zhou1
nuǎn nuan3
fàn fan4
kè ke4
nuǒ nuo3
chuò chuo4
ruò ruo4
tí ti2
ruì rui4
zāo zao1
jiáo jiao2
man man5
cōng cong1
màn man4
wei wei5
m2 m2
